run_id,architecture,log_file,block,position_in_window,sensor_id,sensor_energy_value,sensor_timestamp,message_delay_ms,analytic_window_wait_ms,processing_overhead_ms
B1-flink-1,flink,architecture1_1st_run_logs.log,0,50,1,797.5,2025-12-08 00:00:50,16774.0,9000,7774.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,51,1,801.1,2025-12-08 00:00:51,15771.0,8000,7771.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,52,1,800.3,2025-12-08 00:00:52,14768.0,7000,7768.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,53,1,796.4,2025-12-08 00:00:53,13765.0,6000,7765.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,54,1,796.5,2025-12-08 00:00:54,12763.0,5000,7763.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,55,1,799.2,2025-12-08 00:00:55,11761.0,4000,7761.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,56,1,798.3,2025-12-08 00:00:56,10758.0,3000,7758.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,57,1,799.4,2025-12-08 00:00:57,9756.0,2000,7756.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,58,1,798.7,2025-12-08 00:00:58,8754.0,1000,7754.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,59,1,798.8,2025-12-08 00:00:59,7752.0,0,7752.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,0,1,1210.914286,2025-12-08 00:01:00,66571.0,59000,7571.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,1,1,1210.914286,2025-12-08 00:01:01,65568.0,58000,7568.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,2,1,1210.914286,2025-12-08 00:01:02,64566.0,57000,7566.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,3,1,1210.914286,2025-12-08 00:01:03,63564.0,56000,7564.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,4,1,801.0,2025-12-08 00:01:04,62562.0,55000,7562.0
B1-flink-1,flink,architecture1_1st_run_logs.log,1,5,1,1026.4,2025-12-08 00:01:05,61559.0,54000,7559.0
