"Time","Total CPU"
2026-05-14 13:46:45,0.201
2026-05-14 13:47:00,0.200
2026-05-14 13:47:15,0.197
2026-05-14 13:47:30,0.207
2026-05-14 13:47:45,0.200
2026-05-14 13:48:00,0.175
2026-05-14 13:48:15,0.146
2026-05-14 13:48:30,0.180
2026-05-14 13:48:45,0.238
2026-05-14 13:49:00,0.308
2026-05-14 13:49:15,0.354
2026-05-14 13:49:30,0.354
2026-05-14 13:49:45,0.352
2026-05-14 13:50:00,0.351
2026-05-14 13:50:15,0.352
2026-05-14 13:50:30,0.354
2026-05-14 13:50:45,0.359
2026-05-14 13:51:00,0.361
2026-05-14 13:51:15,0.358
2026-05-14 13:51:30,0.356
2026-05-14 13:51:45,0.351
2026-05-14 13:52:00,0.346
2026-05-14 13:52:15,0.346
2026-05-14 13:52:30,0.346
2026-05-14 13:52:45,0.286
2026-05-14 13:53:00,0.294
2026-05-14 13:53:15,0.230
2026-05-14 13:53:30,0.204
2026-05-14 13:53:45,0.137
2026-05-14 13:54:00,0.133
2026-05-14 13:54:15,0.136
2026-05-14 13:54:30,0.125
2026-05-14 13:54:45,0.119
2026-05-14 13:55:00,1.51
2026-05-14 13:55:15,1.57
2026-05-14 13:55:30,1.57
2026-05-14 13:55:45,0.995
2026-05-14 13:56:00,0.152
2026-05-14 13:56:15,0.161
2026-05-14 13:56:30,0.164
2026-05-14 13:56:45,0.166
2026-05-14 13:57:00,0.175
2026-05-14 13:57:15,0.187
2026-05-14 13:57:30,0.187
2026-05-14 13:57:45,0.195
2026-05-14 13:58:00,0.190
2026-05-14 13:58:15,0.182
2026-05-14 13:58:30,0.177
2026-05-14 13:58:45,0.175
2026-05-14 13:59:00,0.181
2026-05-14 13:59:15,0.191
2026-05-14 13:59:30,0.198
2026-05-14 13:59:45,0.199
2026-05-14 14:00:00,0.196
