sensor_id,aprt_power,sensor_timestamp
19,744.6,2025-12-08 00:00:00+00
19,755.8,2025-12-08 00:00:01+00
19,740.3,2025-12-08 00:00:02+00
19,740.3,2025-12-08 00:00:03+00
19,738.7,2025-12-08 00:00:04+00
19,740.2,2025-12-08 00:00:05+00
19,739.9,2025-12-08 00:00:06+00
19,739.4,2025-12-08 00:00:07+00
19,738.6,2025-12-08 00:00:08+00
19,745.2,2025-12-08 00:00:09+00
19,747.3,2025-12-08 00:00:10+00
19,739.8,2025-12-08 00:00:11+00
19,739.7,2025-12-08 00:00:12+00
19,738.1,2025-12-08 00:00:13+00
19,740.3,2025-12-08 00:00:14+00
19,738.7,2025-12-08 00:00:15+00
19,739.5,2025-12-08 00:00:16+00
19,739.6,2025-12-08 00:00:17+00
19,741.1,2025-12-08 00:00:18+00
19,753.9,2025-12-08 00:00:19+00
19,742.9,2025-12-08 00:00:20+00
19,746.4,2025-12-08 00:00:21+00
19,740,2025-12-08 00:00:22+00
19,740.6,2025-12-08 00:00:23+00
19,740.7,2025-12-08 00:00:24+00
19,735.8,2025-12-08 00:00:25+00
19,738.2,2025-12-08 00:00:26+00
19,758.7,2025-12-08 00:00:27+00
19,740.1,2025-12-08 00:00:28+00
19,739.1,2025-12-08 00:00:29+00
19,736.4,2025-12-08 00:00:30+00
19,735.4,2025-12-08 00:00:31+00
19,740.3,2025-12-08 00:00:32+00
19,872.1,2025-12-08 00:00:33+00
19,842.3,2025-12-08 00:00:34+00
19,848.6,2025-12-08 00:00:35+00
19,841.7,2025-12-08 00:00:36+00
19,749.4,2025-12-08 00:00:37+00
19,837.7,2025-12-08 00:00:38+00
19,895.3,2025-12-08 00:00:39+00
19,853.5,2025-12-08 00:00:40+00
19,855.8,2025-12-08 00:00:41+00
19,854.5,2025-12-08 00:00:42+00
19,844.3,2025-12-08 00:00:43+00
19,842.1,2025-12-08 00:00:44+00
19,839.5,2025-12-08 00:00:45+00
19,844,2025-12-08 00:00:46+00
19,840.6,2025-12-08 00:00:47+00
19,844.2,2025-12-08 00:00:48+00
19,840.9,2025-12-08 00:00:49+00
19,842.5,2025-12-08 00:00:50+00
19,846.1,2025-12-08 00:00:51+00
19,845.3,2025-12-08 00:00:52+00
19,841.4,2025-12-08 00:00:53+00
19,841.5,2025-12-08 00:00:54+00
19,844.2,2025-12-08 00:00:55+00
19,843.3,2025-12-08 00:00:56+00
19,844.4,2025-12-08 00:00:57+00
19,843.7,2025-12-08 00:00:58+00
