sensor_id,aprt_power,sensor_timestamp
5,767.7,2025-12-08 00:00:00+00
5,800.9,2025-12-08 00:00:01+00
5,759.5,2025-12-08 00:00:02+00
5,775.5,2025-12-08 00:00:03+00
5,756.1,2025-12-08 00:00:04+00
5,770.6,2025-12-08 00:00:05+00
5,785.4,2025-12-08 00:00:06+00
5,774.5,2025-12-08 00:00:07+00
5,776.3,2025-12-08 00:00:08+00
5,778.2,2025-12-08 00:00:09+00
5,776.4,2025-12-08 00:00:10+00
5,807.4,2025-12-08 00:00:11+00
5,753.6,2025-12-08 00:00:12+00
5,771.4,2025-12-08 00:00:13+00
5,797.8,2025-12-08 00:00:14+00
5,755.1,2025-12-08 00:00:15+00
5,761.7,2025-12-08 00:00:16+00
5,766.8,2025-12-08 00:00:17+00
5,759.6,2025-12-08 00:00:18+00
5,785,2025-12-08 00:00:19+00
5,778.2,2025-12-08 00:00:20+00
5,777.6,2025-12-08 00:00:21+00
5,756.4,2025-12-08 00:00:22+00
5,787.3,2025-12-08 00:00:23+00
5,757.8,2025-12-08 00:00:24+00
5,756.2,2025-12-08 00:00:25+00
5,770.2,2025-12-08 00:00:26+00
5,781.9,2025-12-08 00:00:27+00
5,788.3,2025-12-08 00:00:28+00
5,744.3,2025-12-08 00:00:29+00
5,779.8,2025-12-08 00:00:30+00
5,769.1,2025-12-08 00:00:31+00
5,762.8,2025-12-08 00:00:32+00
5,928.5,2025-12-08 00:00:33+00
5,874.7,2025-12-08 00:00:34+00
5,889.3,2025-12-08 00:00:35+00
5,867.2,2025-12-08 00:00:36+00
5,758.6,2025-12-08 00:00:37+00
5,904.2,2025-12-08 00:00:38+00
5,931.9,2025-12-08 00:00:39+00
5,902,2025-12-08 00:00:40+00
5,922.7,2025-12-08 00:00:41+00
5,814.4,2025-12-08 00:00:42+00
5,792.8,2025-12-08 00:00:43+00
5,879.6,2025-12-08 00:00:44+00
5,871.7,2025-12-08 00:00:45+00
5,888.4,2025-12-08 00:00:46+00
5,872.9,2025-12-08 00:00:47+00
5,876.9,2025-12-08 00:00:48+00
5,879.7,2025-12-08 00:00:49+00
5,881.3,2025-12-08 00:00:50+00
5,888.4,2025-12-08 00:00:51+00
5,802.4,2025-12-08 00:00:52+00
5,834.2,2025-12-08 00:00:53+00
5,810.2,2025-12-08 00:00:54+00
5,834.3,2025-12-08 00:00:55+00
5,817.5,2025-12-08 00:00:56+00
5,793.5,2025-12-08 00:00:57+00
5,805,2025-12-08 00:00:58+00
5,804.8,2025-12-08 00:00:59+00
5,1316.7,2025-12-08 00:01:00+00
5,1355.7,2025-12-08 00:01:01+00
5,1370.2,2025-12-08 00:01:02+00
5,1350.7,2025-12-08 00:01:03+00
5,1315.4,2025-12-08 00:01:04+00
5,1152.9,2025-12-08 00:01:05+00
5,1286.7,2025-12-08 00:01:06+00
5,1122.5,2025-12-08 00:01:07+00
5,1118,2025-12-08 00:01:08+00
5,1199.9,2025-12-08 00:01:09+00
5,1126.9,2025-12-08 00:01:10+00
5,1158.7,2025-12-08 00:01:11+00
