sensor_id,aprt_power,sensor_timestamp
15,734.6,2025-12-08 00:00:00+00
15,745.8,2025-12-08 00:00:01+00
15,730.3,2025-12-08 00:00:02+00
15,730.3,2025-12-08 00:00:03+00
15,728.7,2025-12-08 00:00:04+00
15,730.2,2025-12-08 00:00:05+00
15,729.9,2025-12-08 00:00:06+00
15,729.4,2025-12-08 00:00:07+00
15,728.6,2025-12-08 00:00:08+00
15,735.2,2025-12-08 00:00:09+00
15,737.3,2025-12-08 00:00:10+00
15,729.8,2025-12-08 00:00:11+00
15,729.7,2025-12-08 00:00:12+00
15,728.1,2025-12-08 00:00:13+00
15,730.3,2025-12-08 00:00:14+00
15,728.7,2025-12-08 00:00:15+00
15,729.5,2025-12-08 00:00:16+00
15,729.6,2025-12-08 00:00:17+00
15,731.1,2025-12-08 00:00:18+00
15,743.9,2025-12-08 00:00:19+00
15,732.9,2025-12-08 00:00:20+00
15,736.4,2025-12-08 00:00:21+00
15,730,2025-12-08 00:00:22+00
15,730.6,2025-12-08 00:00:23+00
15,730.7,2025-12-08 00:00:24+00
15,725.8,2025-12-08 00:00:25+00
15,728.2,2025-12-08 00:00:26+00
15,748.7,2025-12-08 00:00:27+00
15,730.1,2025-12-08 00:00:28+00
15,729.1,2025-12-08 00:00:29+00
15,726.4,2025-12-08 00:00:30+00
15,725.4,2025-12-08 00:00:31+00
15,730.3,2025-12-08 00:00:32+00
15,862.1,2025-12-08 00:00:33+00
15,832.3,2025-12-08 00:00:34+00
15,838.6,2025-12-08 00:00:35+00
15,831.7,2025-12-08 00:00:36+00
15,739.4,2025-12-08 00:00:37+00
15,827.7,2025-12-08 00:00:38+00
15,885.3,2025-12-08 00:00:39+00
15,843.5,2025-12-08 00:00:40+00
15,845.8,2025-12-08 00:00:41+00
15,844.5,2025-12-08 00:00:42+00
15,834.3,2025-12-08 00:00:43+00
15,832.1,2025-12-08 00:00:44+00
15,829.5,2025-12-08 00:00:45+00
15,834,2025-12-08 00:00:46+00
15,830.6,2025-12-08 00:00:47+00
15,834.2,2025-12-08 00:00:48+00
15,830.9,2025-12-08 00:00:49+00
15,832.5,2025-12-08 00:00:50+00
15,836.1,2025-12-08 00:00:51+00
15,835.3,2025-12-08 00:00:52+00
15,831.4,2025-12-08 00:00:53+00
15,831.5,2025-12-08 00:00:54+00
15,834.2,2025-12-08 00:00:55+00
15,833.3,2025-12-08 00:00:56+00
15,834.4,2025-12-08 00:00:57+00
15,833.7,2025-12-08 00:00:58+00
15,833.8,2025-12-08 00:00:59+00
15,1245.914286,2025-12-08 00:01:00+00
15,1245.914286,2025-12-08 00:01:01+00
15,1245.914286,2025-12-08 00:01:02+00
15,1245.914286,2025-12-08 00:01:03+00
15,836,2025-12-08 00:01:04+00
15,1061.4,2025-12-08 00:01:05+00
15,1216,2025-12-08 00:01:06+00
15,1052.9,2025-12-08 00:01:07+00
15,1033.6,2025-12-08 00:01:08+00
15,1111.1,2025-12-08 00:01:09+00
15,1044.1,2025-12-08 00:01:10+00
15,1093.5,2025-12-08 00:01:11+00
15,1120.7,2025-12-08 00:01:12+00
15,1145.5,2025-12-08 00:01:13+00
15,1173.4,2025-12-08 00:01:14+00
15,1197.7,2025-12-08 00:01:15+00
15,1214.2,2025-12-08 00:01:16+00
15,1235,2025-12-08 00:01:17+00
15,1252.7,2025-12-08 00:01:18+00
15,1266.6,2025-12-08 00:01:19+00
15,1276.7,2025-12-08 00:01:20+00
15,1279.7,2025-12-08 00:01:21+00
15,1275,2025-12-08 00:01:22+00
15,1282,2025-12-08 00:01:23+00
15,1286.8,2025-12-08 00:01:24+00
15,1282.7,2025-12-08 00:01:25+00
15,1280.2,2025-12-08 00:01:26+00
15,1286.2,2025-12-08 00:01:27+00
15,1285.8,2025-12-08 00:01:28+00
15,1288,2025-12-08 00:01:29+00
15,1283.4,2025-12-08 00:01:30+00
15,1280.4,2025-12-08 00:01:31+00
15,1280.5,2025-12-08 00:01:32+00
15,1281.1,2025-12-08 00:01:33+00
15,1283.1,2025-12-08 00:01:34+00
15,1284.2,2025-12-08 00:01:35+00
15,1285.9,2025-12-08 00:01:36+00
15,1278,2025-12-08 00:01:37+00
15,1278.8,2025-12-08 00:01:38+00
15,1283.7,2025-12-08 00:01:39+00
15,1284.9,2025-12-08 00:01:40+00
15,1284.9,2025-12-08 00:01:41+00
15,1290.7,2025-12-08 00:01:42+00
15,1294.2,2025-12-08 00:01:43+00
