sensor_id,aprt_power,sensor_timestamp
11,779.6,2025-12-08 00:00:00+00
11,790.8,2025-12-08 00:00:01+00
11,775.3,2025-12-08 00:00:02+00
11,775.3,2025-12-08 00:00:03+00
11,773.7,2025-12-08 00:00:04+00
11,775.2,2025-12-08 00:00:05+00
11,774.9,2025-12-08 00:00:06+00
11,774.4,2025-12-08 00:00:07+00
11,773.6,2025-12-08 00:00:08+00
11,780.2,2025-12-08 00:00:09+00
11,782.3,2025-12-08 00:00:10+00
11,774.8,2025-12-08 00:00:11+00
11,774.7,2025-12-08 00:00:12+00
11,773.1,2025-12-08 00:00:13+00
11,775.3,2025-12-08 00:00:14+00
11,773.7,2025-12-08 00:00:15+00
11,774.5,2025-12-08 00:00:16+00
11,774.6,2025-12-08 00:00:17+00
11,776.1,2025-12-08 00:00:18+00
11,788.9,2025-12-08 00:00:19+00
11,777.9,2025-12-08 00:00:20+00
11,781.4,2025-12-08 00:00:21+00
11,775,2025-12-08 00:00:22+00
11,775.6,2025-12-08 00:00:23+00
11,775.7,2025-12-08 00:00:24+00
11,770.8,2025-12-08 00:00:25+00
11,773.2,2025-12-08 00:00:26+00
11,793.7,2025-12-08 00:00:27+00
11,775.1,2025-12-08 00:00:28+00
11,774.1,2025-12-08 00:00:29+00
11,771.4,2025-12-08 00:00:30+00
11,770.4,2025-12-08 00:00:31+00
11,775.3,2025-12-08 00:00:32+00
11,907.1,2025-12-08 00:00:33+00
11,877.3,2025-12-08 00:00:34+00
11,883.6,2025-12-08 00:00:35+00
11,876.7,2025-12-08 00:00:36+00
11,784.4,2025-12-08 00:00:37+00
11,872.7,2025-12-08 00:00:38+00
11,930.3,2025-12-08 00:00:39+00
11,888.5,2025-12-08 00:00:40+00
11,890.8,2025-12-08 00:00:41+00
11,889.5,2025-12-08 00:00:42+00
11,879.3,2025-12-08 00:00:43+00
11,877.1,2025-12-08 00:00:44+00
11,874.5,2025-12-08 00:00:45+00
11,879,2025-12-08 00:00:46+00
11,875.6,2025-12-08 00:00:47+00
11,879.2,2025-12-08 00:00:48+00
11,875.9,2025-12-08 00:00:49+00
11,877.5,2025-12-08 00:00:50+00
11,881.1,2025-12-08 00:00:51+00
11,880.3,2025-12-08 00:00:52+00
11,876.4,2025-12-08 00:00:53+00
11,876.5,2025-12-08 00:00:54+00
11,879.2,2025-12-08 00:00:55+00
11,878.3,2025-12-08 00:00:56+00
11,879.4,2025-12-08 00:00:57+00
11,878.7,2025-12-08 00:00:58+00
11,878.8,2025-12-08 00:00:59+00
11,1290.914286,2025-12-08 00:01:00+00
11,1290.914286,2025-12-08 00:01:01+00
11,1290.914286,2025-12-08 00:01:02+00
11,1290.914286,2025-12-08 00:01:03+00
11,881,2025-12-08 00:01:04+00
11,1106.4,2025-12-08 00:01:05+00
11,1261,2025-12-08 00:01:06+00
11,1097.9,2025-12-08 00:01:07+00
11,1078.6,2025-12-08 00:01:08+00
11,1156.1,2025-12-08 00:01:09+00
11,1089.1,2025-12-08 00:01:10+00
11,1138.5,2025-12-08 00:01:11+00
11,1165.7,2025-12-08 00:01:12+00
11,1190.5,2025-12-08 00:01:13+00
11,1218.4,2025-12-08 00:01:14+00
11,1242.7,2025-12-08 00:01:15+00
11,1259.2,2025-12-08 00:01:16+00
11,1280,2025-12-08 00:01:17+00
11,1297.7,2025-12-08 00:01:18+00
11,1311.6,2025-12-08 00:01:19+00
11,1321.7,2025-12-08 00:01:20+00
11,1324.7,2025-12-08 00:01:21+00
11,1320,2025-12-08 00:01:22+00
11,1327,2025-12-08 00:01:23+00
11,1331.8,2025-12-08 00:01:24+00
11,1327.7,2025-12-08 00:01:25+00
11,1325.2,2025-12-08 00:01:26+00
11,1331.2,2025-12-08 00:01:27+00
11,1330.8,2025-12-08 00:01:28+00
11,1333,2025-12-08 00:01:29+00
11,1328.4,2025-12-08 00:01:30+00
11,1325.4,2025-12-08 00:01:31+00
11,1325.5,2025-12-08 00:01:32+00
11,1326.1,2025-12-08 00:01:33+00
11,1328.1,2025-12-08 00:01:34+00
11,1329.2,2025-12-08 00:01:35+00
11,1330.9,2025-12-08 00:01:36+00
11,1323,2025-12-08 00:01:37+00
11,1323.8,2025-12-08 00:01:38+00
11,1328.7,2025-12-08 00:01:39+00
11,1329.9,2025-12-08 00:01:40+00
11,1329.9,2025-12-08 00:01:41+00
11,1335.7,2025-12-08 00:01:42+00
11,1339.2,2025-12-08 00:01:43+00
11,1337.6,2025-12-08 00:01:44+00
11,1346,2025-12-08 00:01:45+00
11,1347.9,2025-12-08 00:01:46+00
11,1346.5,2025-12-08 00:01:47+00
11,1349.9,2025-12-08 00:01:48+00
11,1347.9,2025-12-08 00:01:49+00
11,1349.7,2025-12-08 00:01:50+00
11,1354.2,2025-12-08 00:01:51+00
11,1354.1,2025-12-08 00:01:52+00
11,1351.6,2025-12-08 00:01:53+00
11,1354.6,2025-12-08 00:01:54+00
11,1353.1,2025-12-08 00:01:55+00
11,1353.5,2025-12-08 00:01:56+00
11,1359.1,2025-12-08 00:01:57+00
11,1357.1,2025-12-08 00:01:58+00
11,1377.1,2025-12-08 00:01:59+00
11,1359.1,2025-12-08 00:02:00+00
11,1352.2,2025-12-08 00:02:01+00
11,1350.8,2025-12-08 00:02:02+00
11,1351.8,2025-12-08 00:02:03+00
11,1351.3,2025-12-08 00:02:04+00
11,1350.7,2025-12-08 00:02:05+00
11,1352.9,2025-12-08 00:02:06+00
11,1356.5,2025-12-08 00:02:07+00
11,1348.7,2025-12-08 00:02:08+00
11,1347.4,2025-12-08 00:02:09+00
11,1350.3,2025-12-08 00:02:10+00
11,1346.6,2025-12-08 00:02:11+00
11,1351.5,2025-12-08 00:02:12+00
11,1347.8,2025-12-08 00:02:13+00
11,1348.8,2025-12-08 00:02:14+00
11,1368.2,2025-12-08 00:02:15+00
11,1347.6,2025-12-08 00:02:16+00
11,1351.8,2025-12-08 00:02:17+00
11,1352.5,2025-12-08 00:02:18+00
11,1357.3,2025-12-08 00:02:19+00
11,1357.5,2025-12-08 00:02:20+00
11,1360.7,2025-12-08 00:02:21+00
11,1354.7,2025-12-08 00:02:22+00
11,1354.9,2025-12-08 00:02:23+00
11,1358.8,2025-12-08 00:02:24+00
11,1351.3,2025-12-08 00:02:25+00
11,1351.4,2025-12-08 00:02:26+00
11,1356.4,2025-12-08 00:02:27+00
11,1355.2,2025-12-08 00:02:28+00
11,1356.9,2025-12-08 00:02:29+00
11,1354.4,2025-12-08 00:02:30+00
11,1348.6,2025-12-08 00:02:31+00
11,1349.6,2025-12-08 00:02:32+00
11,1354,2025-12-08 00:02:33+00
11,1350.5,2025-12-08 00:02:34+00
11,1351.8,2025-12-08 00:02:35+00
11,1350.9,2025-12-08 00:02:36+00
11,1349.2,2025-12-08 00:02:37+00
11,1351.1,2025-12-08 00:02:38+00
11,1353.3,2025-12-08 00:02:39+00
11,1352.9,2025-12-08 00:02:40+00
11,1357.5,2025-12-08 00:02:41+00
11,1349.7,2025-12-08 00:02:42+00
11,1346.1,2025-12-08 00:02:43+00
11,1351,2025-12-08 00:02:44+00
11,1349.3,2025-12-08 00:02:45+00
11,1352.8,2025-12-08 00:02:46+00
11,1354.3,2025-12-08 00:02:47+00
11,1349.5,2025-12-08 00:02:48+00
11,1348.6,2025-12-08 00:02:49+00
11,1349.2,2025-12-08 00:02:50+00
11,1352.9,2025-12-08 00:02:51+00
11,1349.6,2025-12-08 00:02:52+00
11,1349.1,2025-12-08 00:02:53+00
