sensor_id,aprt_power,sensor_timestamp
10,599.6,2025-12-08 00:00:00+00
10,610.8,2025-12-08 00:00:01+00
10,595.3,2025-12-08 00:00:02+00
10,595.3,2025-12-08 00:00:03+00
10,593.7,2025-12-08 00:00:04+00
10,595.2,2025-12-08 00:00:05+00
10,594.9,2025-12-08 00:00:06+00
10,594.4,2025-12-08 00:00:07+00
10,593.6,2025-12-08 00:00:08+00
10,600.2,2025-12-08 00:00:09+00
10,602.3,2025-12-08 00:00:10+00
10,594.8,2025-12-08 00:00:11+00
10,594.7,2025-12-08 00:00:12+00
10,593.1,2025-12-08 00:00:13+00
10,595.3,2025-12-08 00:00:14+00
10,593.7,2025-12-08 00:00:15+00
10,594.5,2025-12-08 00:00:16+00
10,594.6,2025-12-08 00:00:17+00
10,596.1,2025-12-08 00:00:18+00
10,608.9,2025-12-08 00:00:19+00
10,597.9,2025-12-08 00:00:20+00
10,601.4,2025-12-08 00:00:21+00
10,595,2025-12-08 00:00:22+00
10,595.6,2025-12-08 00:00:23+00
10,595.7,2025-12-08 00:00:24+00
10,590.8,2025-12-08 00:00:25+00
10,593.2,2025-12-08 00:00:26+00
10,613.7,2025-12-08 00:00:27+00
10,595.1,2025-12-08 00:00:28+00
10,594.1,2025-12-08 00:00:29+00
10,591.4,2025-12-08 00:00:30+00
10,590.4,2025-12-08 00:00:31+00
10,595.3,2025-12-08 00:00:32+00
10,727.1,2025-12-08 00:00:33+00
10,697.3,2025-12-08 00:00:34+00
10,703.6,2025-12-08 00:00:35+00
10,696.7,2025-12-08 00:00:36+00
10,604.4,2025-12-08 00:00:37+00
10,692.7,2025-12-08 00:00:38+00
10,750.3,2025-12-08 00:00:39+00
10,708.5,2025-12-08 00:00:40+00
10,710.8,2025-12-08 00:00:41+00
10,709.5,2025-12-08 00:00:42+00
10,699.3,2025-12-08 00:00:43+00
10,697.1,2025-12-08 00:00:44+00
10,694.5,2025-12-08 00:00:45+00
10,699,2025-12-08 00:00:46+00
10,695.6,2025-12-08 00:00:47+00
10,699.2,2025-12-08 00:00:48+00
10,695.9,2025-12-08 00:00:49+00
10,697.5,2025-12-08 00:00:50+00
10,701.1,2025-12-08 00:00:51+00
10,700.3,2025-12-08 00:00:52+00
10,696.4,2025-12-08 00:00:53+00
10,696.5,2025-12-08 00:00:54+00
10,699.2,2025-12-08 00:00:55+00
10,698.3,2025-12-08 00:00:56+00
10,699.4,2025-12-08 00:00:57+00
10,698.7,2025-12-08 00:00:58+00
10,698.8,2025-12-08 00:00:59+00
10,1110.914286,2025-12-08 00:01:00+00
10,1110.914286,2025-12-08 00:01:01+00
10,1110.914286,2025-12-08 00:01:02+00
10,1110.914286,2025-12-08 00:01:03+00
10,701,2025-12-08 00:01:04+00
10,926.4,2025-12-08 00:01:05+00
10,1081,2025-12-08 00:01:06+00
10,917.9,2025-12-08 00:01:07+00
10,898.6,2025-12-08 00:01:08+00
10,976.1,2025-12-08 00:01:09+00
10,909.1,2025-12-08 00:01:10+00
10,958.5,2025-12-08 00:01:11+00
10,985.7,2025-12-08 00:01:12+00
10,1010.5,2025-12-08 00:01:13+00
10,1038.4,2025-12-08 00:01:14+00
10,1062.7,2025-12-08 00:01:15+00
10,1079.2,2025-12-08 00:01:16+00
10,1100,2025-12-08 00:01:17+00
10,1117.7,2025-12-08 00:01:18+00
10,1131.6,2025-12-08 00:01:19+00
10,1141.7,2025-12-08 00:01:20+00
10,1144.7,2025-12-08 00:01:21+00
10,1140,2025-12-08 00:01:22+00
10,1147,2025-12-08 00:01:23+00
10,1151.8,2025-12-08 00:01:24+00
10,1147.7,2025-12-08 00:01:25+00
10,1145.2,2025-12-08 00:01:26+00
10,1151.2,2025-12-08 00:01:27+00
10,1150.8,2025-12-08 00:01:28+00
10,1153,2025-12-08 00:01:29+00
10,1148.4,2025-12-08 00:01:30+00
10,1145.4,2025-12-08 00:01:31+00
10,1145.5,2025-12-08 00:01:32+00
10,1146.1,2025-12-08 00:01:33+00
10,1148.1,2025-12-08 00:01:34+00
10,1149.2,2025-12-08 00:01:35+00
10,1150.9,2025-12-08 00:01:36+00
10,1143,2025-12-08 00:01:37+00
10,1143.8,2025-12-08 00:01:38+00
10,1148.7,2025-12-08 00:01:39+00
10,1149.9,2025-12-08 00:01:40+00
10,1149.9,2025-12-08 00:01:41+00
10,1155.7,2025-12-08 00:01:42+00
10,1159.2,2025-12-08 00:01:43+00
10,1157.6,2025-12-08 00:01:44+00
10,1166,2025-12-08 00:01:45+00
10,1167.9,2025-12-08 00:01:46+00
10,1166.5,2025-12-08 00:01:47+00
10,1169.9,2025-12-08 00:01:48+00
10,1167.9,2025-12-08 00:01:49+00
10,1169.7,2025-12-08 00:01:50+00
10,1174.2,2025-12-08 00:01:51+00
10,1174.1,2025-12-08 00:01:52+00
10,1171.6,2025-12-08 00:01:53+00
10,1174.6,2025-12-08 00:01:54+00
10,1173.1,2025-12-08 00:01:55+00
10,1173.5,2025-12-08 00:01:56+00
10,1179.1,2025-12-08 00:01:57+00
10,1177.1,2025-12-08 00:01:58+00
10,1197.1,2025-12-08 00:01:59+00
10,1179.1,2025-12-08 00:02:00+00
10,1172.2,2025-12-08 00:02:01+00
10,1170.8,2025-12-08 00:02:02+00
10,1171.8,2025-12-08 00:02:03+00
10,1171.3,2025-12-08 00:02:04+00
10,1170.7,2025-12-08 00:02:05+00
10,1172.9,2025-12-08 00:02:06+00
10,1176.5,2025-12-08 00:02:07+00
10,1168.7,2025-12-08 00:02:08+00
10,1167.4,2025-12-08 00:02:09+00
