sensor_id,aprt_power,sensor_timestamp
7,724.6,2025-12-08 00:00:00+00
7,735.8,2025-12-08 00:00:01+00
7,720.3,2025-12-08 00:00:02+00
7,720.3,2025-12-08 00:00:03+00
7,718.7,2025-12-08 00:00:04+00
7,720.2,2025-12-08 00:00:05+00
7,719.9,2025-12-08 00:00:06+00
7,719.4,2025-12-08 00:00:07+00
7,718.6,2025-12-08 00:00:08+00
7,725.2,2025-12-08 00:00:09+00
7,727.3,2025-12-08 00:00:10+00
7,719.8,2025-12-08 00:00:11+00
7,719.7,2025-12-08 00:00:12+00
7,718.1,2025-12-08 00:00:13+00
7,720.3,2025-12-08 00:00:14+00
7,718.7,2025-12-08 00:00:15+00
7,719.5,2025-12-08 00:00:16+00
7,719.6,2025-12-08 00:00:17+00
7,721.1,2025-12-08 00:00:18+00
7,733.9,2025-12-08 00:00:19+00
7,722.9,2025-12-08 00:00:20+00
7,726.4,2025-12-08 00:00:21+00
7,720,2025-12-08 00:00:22+00
7,720.6,2025-12-08 00:00:23+00
7,720.7,2025-12-08 00:00:24+00
7,715.8,2025-12-08 00:00:25+00
7,718.2,2025-12-08 00:00:26+00
7,738.7,2025-12-08 00:00:27+00
7,720.1,2025-12-08 00:00:28+00
7,719.1,2025-12-08 00:00:29+00
7,716.4,2025-12-08 00:00:30+00
7,715.4,2025-12-08 00:00:31+00
7,720.3,2025-12-08 00:00:32+00
7,852.1,2025-12-08 00:00:33+00
7,822.3,2025-12-08 00:00:34+00
7,828.6,2025-12-08 00:00:35+00
7,821.7,2025-12-08 00:00:36+00
7,729.4,2025-12-08 00:00:37+00
7,817.7,2025-12-08 00:00:38+00
7,875.3,2025-12-08 00:00:39+00
7,833.5,2025-12-08 00:00:40+00
7,835.8,2025-12-08 00:00:41+00
7,834.5,2025-12-08 00:00:42+00
7,824.3,2025-12-08 00:00:43+00
7,822.1,2025-12-08 00:00:44+00
7,819.5,2025-12-08 00:00:45+00
7,824,2025-12-08 00:00:46+00
7,820.6,2025-12-08 00:00:47+00
7,824.2,2025-12-08 00:00:48+00
7,820.9,2025-12-08 00:00:49+00
7,822.5,2025-12-08 00:00:50+00
7,826.1,2025-12-08 00:00:51+00
7,825.3,2025-12-08 00:00:52+00
7,821.4,2025-12-08 00:00:53+00
7,821.5,2025-12-08 00:00:54+00
7,824.2,2025-12-08 00:00:55+00
7,823.3,2025-12-08 00:00:56+00
7,824.4,2025-12-08 00:00:57+00
7,823.7,2025-12-08 00:00:58+00
7,823.8,2025-12-08 00:00:59+00
7,1235.914286,2025-12-08 00:01:00+00
7,1235.914286,2025-12-08 00:01:01+00
7,1235.914286,2025-12-08 00:01:02+00
7,1235.914286,2025-12-08 00:01:03+00
7,826,2025-12-08 00:01:04+00
7,1051.4,2025-12-08 00:01:05+00
7,1206,2025-12-08 00:01:06+00
7,1042.9,2025-12-08 00:01:07+00
7,1023.6,2025-12-08 00:01:08+00
7,1101.1,2025-12-08 00:01:09+00
7,1034.1,2025-12-08 00:01:10+00
7,1083.5,2025-12-08 00:01:11+00
7,1110.7,2025-12-08 00:01:12+00
7,1135.5,2025-12-08 00:01:13+00
7,1163.4,2025-12-08 00:01:14+00
7,1187.7,2025-12-08 00:01:15+00
7,1204.2,2025-12-08 00:01:16+00
7,1225,2025-12-08 00:01:17+00
7,1242.7,2025-12-08 00:01:18+00
7,1256.6,2025-12-08 00:01:19+00
7,1266.7,2025-12-08 00:01:20+00
7,1269.7,2025-12-08 00:01:21+00
7,1265,2025-12-08 00:01:22+00
7,1272,2025-12-08 00:01:23+00
7,1276.8,2025-12-08 00:01:24+00
7,1272.7,2025-12-08 00:01:25+00
7,1270.2,2025-12-08 00:01:26+00
7,1276.2,2025-12-08 00:01:27+00
7,1275.8,2025-12-08 00:01:28+00
7,1278,2025-12-08 00:01:29+00
7,1273.4,2025-12-08 00:01:30+00
7,1270.4,2025-12-08 00:01:31+00
7,1270.5,2025-12-08 00:01:32+00
7,1271.1,2025-12-08 00:01:33+00
7,1273.1,2025-12-08 00:01:34+00
7,1274.2,2025-12-08 00:01:35+00
7,1275.9,2025-12-08 00:01:36+00
7,1268,2025-12-08 00:01:37+00
7,1268.8,2025-12-08 00:01:38+00
7,1273.7,2025-12-08 00:01:39+00
7,1274.9,2025-12-08 00:01:40+00
7,1274.9,2025-12-08 00:01:41+00
7,1280.7,2025-12-08 00:01:42+00
7,1284.2,2025-12-08 00:01:43+00
7,1282.6,2025-12-08 00:01:44+00
7,1291,2025-12-08 00:01:45+00
7,1292.9,2025-12-08 00:01:46+00
7,1291.5,2025-12-08 00:01:47+00
7,1294.9,2025-12-08 00:01:48+00
7,1292.9,2025-12-08 00:01:49+00
7,1294.7,2025-12-08 00:01:50+00
7,1299.2,2025-12-08 00:01:51+00
7,1299.1,2025-12-08 00:01:52+00
7,1296.6,2025-12-08 00:01:53+00
7,1299.6,2025-12-08 00:01:54+00
7,1298.1,2025-12-08 00:01:55+00
7,1298.5,2025-12-08 00:01:56+00
7,1304.1,2025-12-08 00:01:57+00
7,1302.1,2025-12-08 00:01:58+00
7,1322.1,2025-12-08 00:01:59+00
7,1304.1,2025-12-08 00:02:00+00
7,1297.2,2025-12-08 00:02:01+00
7,1295.8,2025-12-08 00:02:02+00
7,1296.8,2025-12-08 00:02:03+00
7,1296.3,2025-12-08 00:02:04+00
7,1295.7,2025-12-08 00:02:05+00
7,1297.9,2025-12-08 00:02:06+00
7,1301.5,2025-12-08 00:02:07+00
7,1293.7,2025-12-08 00:02:08+00
7,1292.4,2025-12-08 00:02:09+00
