====================================================================================================
A1 SCALING EXPERIMENT - ARCHITECTURE WITH APACHE FLINK - RESOURCE METRICS
Generated: 2026-05-16T06:59:56Z
Source: Grafana CSV exports (UTF-16 TSV) of CPU / memory per container + totals.
        Sampling interval: 15 s (per Grafana dashboard configuration).
Phase ('active_devices') = number of devices whose coordinator had subscribed at this sample's wall-clock.
Times in Athens local (+02:00); the Grafana CSV uses local timestamps.
====================================================================================================

Containers measured  : pulsar, jobmanager, taskmanager, mosquittoo, postgres, rustfs_container
Sample count         : 249
Time range           : 2026-05-15 18:58:15 -> 2026-05-15 20:00:15

====================================================================================================
1. PER-PHASE x PER-CONTAINER  (mean / p95 / max CPU in cores, mean / max memory in MiB)
====================================================================================================
  #dev container                 n    cpu_mean   cpu_p95   cpu_max    mem_mean_MB  mem_max_MB
     9 mosquittoo               13      0.0020    0.0021    0.0021           18.3        18.7
     9 postgres                 13      0.0053    0.0077    0.0078          107.4       109.1
     9 rustfs_container         13      0.1897    0.2072    0.2090          240.0       253.8
     9 _TOTAL_(containers)      13      1.3011    2.8920    3.0300         8608.9      9202.0

    10 pulsar                   13      0.6822    2.1700    2.1700         2958.6      3425.2
    10 jobmanager               13      0.0542    0.0958    0.0966         2451.4      2480.3
    10 taskmanager              13      0.3652    0.5224    0.5290         2842.1      3006.5
    10 mosquittoo               13      0.0021    0.0022    0.0022           18.4        19.2
    10 postgres                 13      0.0063    0.0067    0.0068          108.7       111.1
    10 rustfs_container         13      0.1809    0.2088    0.2100          254.6       264.2
    10 _TOTAL_(containers)      13      1.2907    2.8860    2.9100         8632.1      9019.4

    11 pulsar                   13      0.6866    2.2680    2.2800         2687.7      3425.2
    11 jobmanager               13      0.0507    0.0923    0.0924         2265.6      2534.0
    11 taskmanager              13      0.3997    0.5488    0.5770         2510.1      2888.4
    11 mosquittoo               13      0.0022    0.0024    0.0024           18.3        18.7
    11 postgres                 13      0.0066    0.0079    0.0085          104.6       105.9
    11 rustfs_container         13      0.2040    0.2892    0.2910          231.3       254.8
    11 _TOTAL_(containers)      13      1.3515    2.9140    2.9800         7818.5      8257.1

    12 pulsar                   13      0.7606    2.2740    2.2800         2640.6      3360.8
