active_devices,container,n_samples,cpu_mean_cores,cpu_p95_cores,cpu_max_cores,mem_mean_bytes,mem_max_bytes
11,postgres,13,0.0066,0.0079,0.0085,104567225,105906176
11,rustfs_container,13,0.204,0.2892,0.291,231251338,254803968
11,_TOTAL_(containers),13,1.3515,2.914,2.98,7818492389,8257074627
12,pulsar,13,0.7606,2.274,2.28,2640578932,3360811909
12,jobmanager,13,0.0572,0.0922,0.0942,1893089431,1921997865
12,taskmanager,13,0.4307,0.5906,0.596,2274680756,2319282340
12,mosquittoo,13,0.0023,0.0025,0.0025,18245222,18979226
12,postgres,13,0.0075,0.0087,0.0089,104284916,106954752
12,rustfs_container,13,0.2421,0.3304,0.334,212296310,223346688
12,_TOTAL_(containers),13,1.4998,2.914,3.07,7142035040,7806103060
13,pulsar,13,0.801,2.322,2.34,2599281169,3468186092
13,jobmanager,13,0.0662,0.0945,0.0956,1942646746,2029372047
13,taskmanager,13,0.4593,0.6498,0.654,2413441238,2587717796
13,mosquittoo,13,0.0025,0.0027,0.0027,17366032,18140365
13,postgres,13,0.0082,0.0097,0.01,93492649,99614720
13,rustfs_container,13,0.2325,0.3104,0.314,216329295,226492416
13,_TOTAL_(containers),13,1.5689,3.116,3.14,7281621477,8117488189
14,pulsar,12,0.6689,2.1225,2.37,2433814801,3146063544
14,jobmanager,12,0.0589,0.0899,0.09,1982843235,2029372047
14,taskmanager,12,0.4489,0.549,0.571,2439183510,2469606195
14,mosquittoo,12,0.0026,0.0029,0.0029,17572386,18140365
14,postgres,12,0.0089,0.0113,0.0113,83667627,86297805
14,rustfs_container,12,0.2442,0.3325,0.333,229026475,240123904
14,_TOTAL_(containers),12,1.4323,2.7775,3.08,7188701512,7698728878
15,pulsar,14,0.7779,2.3775,2.41,2281701376,3146063544
15,jobmanager,14,0.0602,0.0999,0.101,1895921278,1997159793
15,taskmanager,14,0.4391,0.574,0.574,2352261553,2480343613
15,mosquittoo,14,0.0026,0.0029,0.0029,17301504,17616077
15,postgres,14,0.008,0.011,0.0113,79309795,85039514
15,rustfs_container,14,0.1894,0.2861,0.29,226267721,236978176
15,_TOTAL_(containers),14,1.4778,3.033,3.15,6854307629,7387343749
16,pulsar,12,0.6896,2.1655,2.27,2058899948,2963527434
16,jobmanager,12,0.0692,0.1109,0.112,2013265920,2061584302
16,taskmanager,12,0.4827,0.5987,0.608,2284385731,2308544922
16,mosquittoo,12,0.0027,0.003,0.003,17240337,17930650
16,postgres,12,0.0089,0.0122,0.0128,77725696,81579213
16,rustfs_container,12,0.1673,0.2178,0.22,226579797,239075328
16,_TOTAL_(containers),12,1.4218,2.861,3.07,6679568930,7580617277
17,pulsar,13,0.7198,2.194,2.23,1375163868,2072321720
17,jobmanager,13,0.0763,0.1064,0.107,1943472701,2007897211
17,taskmanager,13,0.4715,0.6006,0.615,2177218037,2297807503
17,mosquittoo,13,0.0028,0.003,0.003,17333768,17720934
17,postgres,13,0.0093,0.0125,0.0126,73045417,78748058
17,rustfs_container,13,0.1617,0.248,0.26,157770358,183500800
17,_TOTAL_(containers),13,1.4413,2.954,3.05,5746996624,6249177416
18,pulsar,13,0.707,2.206,2.32,792171744,1707249500
