block,id,sensor_id,sensor_energy_value,sensor_timestamp,message_delay,,block,id,sensor_id,sensor_energy_value_prediction,sensor_timestamp
0,0,19,744.6,2025-12-08 00:00:00,66193.0,,0,0,19,1016.911682,2025-12-08 00:01:00
0,1,19,755.8,2025-12-08 00:00:01,65173.0,,0,1,19,1037.611572,2025-12-08 00:01:01
0,2,19,740.3,2025-12-08 00:00:02,64165.0,,0,2,19,1056.76709,2025-12-08 00:01:02
0,3,19,740.3,2025-12-08 00:00:03,63160.0,,0,3,19,1075.109741,2025-12-08 00:01:03
0,4,19,738.7,2025-12-08 00:00:04,62151.0,,0,4,19,1092.33252,2025-12-08 00:01:04
0,5,19,740.2,2025-12-08 00:00:05,61123.0,,0,5,19,1108.285034,2025-12-08 00:01:05
0,6,19,739.9,2025-12-08 00:00:06,60112.0,,0,6,19,1122.929565,2025-12-08 00:01:06
0,7,19,739.4,2025-12-08 00:00:07,59082.0,,0,7,19,1136.297852,2025-12-08 00:01:07
0,8,19,738.6,2025-12-08 00:00:08,58075.0,,0,8,19,1148.463501,2025-12-08 00:01:08
0,9,19,745.2,2025-12-08 00:00:09,57069.0,,0,9,19,1159.521851,2025-12-08 00:01:09
0,10,19,747.3,2025-12-08 00:00:10,56059.0,,0,10,19,1169.577271,2025-12-08 00:01:10
0,11,19,739.8,2025-12-08 00:00:11,55056.0,,0,11,19,1178.735474,2025-12-08 00:01:11
0,12,19,739.7,2025-12-08 00:00:12,54041.0,,0,12,19,1187.097168,2025-12-08 00:01:12
0,13,19,738.1,2025-12-08 00:00:13,53033.0,,0,13,19,1194.756348,2025-12-08 00:01:13
0,14,19,740.3,2025-12-08 00:00:14,52026.0,,0,14,19,1201.797363,2025-12-08 00:01:14
0,15,19,738.7,2025-12-08 00:00:15,51025.0,,0,15,19,1208.296143,2025-12-08 00:01:15
0,16,19,739.5,2025-12-08 00:00:16,50015.0,,0,16,19,1214.318604,2025-12-08 00:01:16
0,17,19,739.6,2025-12-08 00:00:17,49013.0,,0,17,19,1219.922363,2025-12-08 00:01:17
0,18,19,741.1,2025-12-08 00:00:18,48012.0,,0,18,19,1225.156738,2025-12-08 00:01:18
0,19,19,753.9,2025-12-08 00:00:19,47006.0,,0,19,19,1230.063721,2025-12-08 00:01:19
0,20,19,742.9,2025-12-08 00:00:20,46001.0,,0,20,19,1234.679565,2025-12-08 00:01:20
0,21,19,746.4,2025-12-08 00:00:21,44996.0,,0,21,19,1239.034912,2025-12-08 00:01:21
0,22,19,740.0,2025-12-08 00:00:22,43994.0,,0,22,19,1243.155151,2025-12-08 00:01:22
0,23,19,740.6,2025-12-08 00:00:23,42986.0,,0,23,19,1247.0625,2025-12-08 00:01:23
0,24,19,740.7,2025-12-08 00:00:24,41979.0,,0,24,19,1250.775757,2025-12-08 00:01:24
0,25,19,735.8,2025-12-08 00:00:25,40926.0,,0,25,19,1254.310547,2025-12-08 00:01:25
0,26,19,738.2,2025-12-08 00:00:26,39917.0,,0,26,19,1257.680786,2025-12-08 00:01:26
0,27,19,758.7,2025-12-08 00:00:27,38903.0,,0,27,19,1260.898438,2025-12-08 00:01:27
0,28,19,740.1,2025-12-08 00:00:28,37891.0,,0,28,19,1263.973511,2025-12-08 00:01:28
0,29,19,739.1,2025-12-08 00:00:29,36888.0,,0,29,19,1266.915405,2025-12-08 00:01:29
0,30,19,736.4,2025-12-08 00:00:30,35884.0,,0,30,19,1269.732056,2025-12-08 00:01:30
0,31,19,735.4,2025-12-08 00:00:31,34819.0,,0,31,19,1272.430908,2025-12-08 00:01:31
0,32,19,740.3,2025-12-08 00:00:32,33811.0,,0,32,19,1275.018433,2025-12-08 00:01:32
0,33,19,872.1,2025-12-08 00:00:33,32808.0,,0,33,19,1277.500732,2025-12-08 00:01:33
0,34,19,842.3,2025-12-08 00:00:34,31806.0,,0,34,19,1279.883301,2025-12-08 00:01:34
0,35,19,848.6,2025-12-08 00:00:35,30798.0,,0,35,19,1282.171387,2025-12-08 00:01:35
0,36,19,841.7,2025-12-08 00:00:36,29759.0,,0,36,19,1284.369507,2025-12-08 00:01:36
0,37,19,749.4,2025-12-08 00:00:37,28748.0,,0,37,19,1286.482422,2025-12-08 00:01:37
0,38,19,837.7,2025-12-08 00:00:38,27743.0,,0,38,19,1288.513916,2025-12-08 00:01:38
0,39,19,895.3,2025-12-08 00:00:39,26721.0,,0,39,19,1290.46814,2025-12-08 00:01:39
0,40,19,853.5,2025-12-08 00:00:40,25702.0,,0,40,19,1292.348999,2025-12-08 00:01:40
0,41,19,855.8,2025-12-08 00:00:41,24667.0,,0,41,19,1294.160156,2025-12-08 00:01:41
0,42,19,854.5,2025-12-08 00:00:42,23666.0,,0,42,19,1295.904297,2025-12-08 00:01:42
0,43,19,844.3,2025-12-08 00:00:43,22658.0,,0,43,19,1297.585083,2025-12-08 00:01:43
0,44,19,842.1,2025-12-08 00:00:44,21641.0,,0,44,19,1299.205322,2025-12-08 00:01:44
0,45,19,839.5,2025-12-08 00:00:45,20637.0,,0,45,19,1300.767822,2025-12-08 00:01:45
0,46,19,844.0,2025-12-08 00:00:46,19634.0,,0,46,19,1302.275146,2025-12-08 00:01:46
0,47,19,840.6,2025-12-08 00:00:47,18628.0,,0,47,19,1303.730103,2025-12-08 00:01:47
0,48,19,844.2,2025-12-08 00:00:48,17625.0,,0,48,19,1305.134644,2025-12-08 00:01:48
0,49,19,840.9,2025-12-08 00:00:49,16621.0,,0,49,19,1306.491455,2025-12-08 00:01:49
0,50,19,842.5,2025-12-08 00:00:50,15618.0,,0,50,19,1307.802124,2025-12-08 00:01:50
0,51,19,846.1,2025-12-08 00:00:51,14613.0,,0,51,19,1309.069214,2025-12-08 00:01:51
0,52,19,845.3,2025-12-08 00:00:52,13595.0,,0,52,19,1310.294434,2025-12-08 00:01:52
0,53,19,841.4,2025-12-08 00:00:53,12589.0,,0,53,19,1311.479492,2025-12-08 00:01:53
0,54,19,841.5,2025-12-08 00:00:54,11584.0,,0,54,19,1312.626221,2025-12-08 00:01:54
0,55,19,844.2,2025-12-08 00:00:55,10580.0,,0,55,19,1313.735962,2025-12-08 00:01:55
0,56,19,843.3,2025-12-08 00:00:56,9577.0,,0,56,19,1314.810547,2025-12-08 00:01:56
0,57,19,844.4,2025-12-08 00:00:57,8565.0,,0,57,19,1315.851196,2025-12-08 00:01:57
0,58,19,843.7,2025-12-08 00:00:58,7558.0,,0,58,19,1316.859375,2025-12-08 00:01:58
0,59,19,843.8,2025-12-08 00:00:59,6535.0,,0,59,19,1317.836426,2025-12-08 00:01:59
