active_devices,container,n_samples,cpu_mean_cores,cpu_p95_cores,cpu_max_cores,mem_mean_bytes,mem_max_bytes
0,pulsar,2,0.0706,0.075,0.0755,2437393940,2437393940
0,jobmanager,2,,,,,
0,taskmanager,2,,,,,
0,mosquittoo,2,0.0007,0.0007,0.0007,2464154,2464154
0,postgres,2,0.0009,0.001,0.001,18717082,18874368
0,rustfs_container,2,0.0009,0.0009,0.0009,90177536,90177536
0,_TOTAL_(containers),2,0.0731,0.0776,0.0781,2544768123,2544768123
1,pulsar,13,0.5063,1.378,1.39,2499340584,3027951944
1,jobmanager,13,,,,,
1,taskmanager,13,,,,,
1,mosquittoo,13,0.0007,0.0008,0.0008,3044903,3722445
1,postgres,13,0.001,0.0014,0.0014,22237877,23173530
1,rustfs_container,13,0.0007,0.0011,0.0011,95460746,98985574
1,_TOTAL_(containers),13,0.5081,1.378,1.39,2616626230,3146063544
2,pulsar,13,0.4731,1.366,1.39,2516685644,3135326126
2,jobmanager,13,,,,,
2,taskmanager,13,,,,,
2,mosquittoo,13,0.0008,0.0009,0.0009,3119110,3481272
2,postgres,13,0.0015,0.0019,0.0019,25544925,26843546
2,rustfs_container,13,0.0009,0.0012,0.0012,100961737,103704166
2,_TOTAL_(containers),13,0.4756,1.366,1.39,2643882753,3264175145
3,pulsar,12,0.4277,1.3745,1.38,2474080119,2480343613
3,jobmanager,12,,,,,
3,taskmanager,12,,,,,
3,mosquittoo,12,0.0011,0.0013,0.0013,3242721,4026532
3,postgres,12,0.0022,0.0033,0.0033,28617387,29884416
3,rustfs_container,12,0.001,0.0014,0.0014,102568209,104123597
3,_TOTAL_(containers),12,0.431,1.3745,1.38,2609192632,2619930051
4,pulsar,13,0.4759,1.364,1.37,2554679586,3070901617
4,jobmanager,13,,,,,
4,taskmanager,13,,,,,
4,mosquittoo,13,0.0012,0.0014,0.0014,3105398,3795845
4,postgres,13,0.0024,0.0031,0.0031,32642977,34288435
4,rustfs_container,13,0.0012,0.0016,0.0016,104817270,105906176
4,_TOTAL_(containers),13,0.4803,1.368,1.38,2693440068,3199750636
5,pulsar,13,0.4863,1.396,1.42,2525771152,3135326126
5,jobmanager,13,,,,,
5,taskmanager,13,,,,,
5,mosquittoo,13,0.0014,0.0016,0.0016,3386900,3816817
5,postgres,13,0.0031,0.0037,0.004,36175872,38482739
5,rustfs_container,13,0.0013,0.0017,0.0018,104930194,105906176
5,_TOTAL_(containers),13,0.491,1.396,1.42,2670313321,3274912563
6,pulsar,13,0.4672,1.348,1.36,2523293286,3038689362
6,jobmanager,13,,,,,
6,taskmanager,13,,,,,
6,mosquittoo,13,0.0016,0.0017,0.0017,3319953,3816817
6,postgres,13,0.0035,0.0044,0.0046,39232874,40475034
6,rustfs_container,13,0.0014,0.0019,0.0019,106470794,108003328
6,_TOTAL_(containers),13,0.4734,1.348,1.36,2670313321,3189013217
7,pulsar,12,0.3852,1.339,1.35,2501818450,2738041651
7,jobmanager,12,,,,,
7,taskmanager,12,,,,,
7,mosquittoo,12,0.0018,0.0019,0.0019,3261071,3848274
7,postgres,12,0.0042,0.0049,0.0049,43087735,45088768
7,rustfs_container,12,0.0015,0.002,0.0021,108702379,112197632
