active_devices,container,n_samples,cpu_mean_cores,cpu_p95_cores,cpu_max_cores,mem_mean_bytes,mem_max_bytes
7,_TOTAL_(containers),12,0.3927,1.3435,1.36,2661090154,2899102925
8,pulsar,13,0.4632,1.354,1.36,2529900928,3113851290
8,jobmanager,13,,,,,
8,taskmanager,13,,,,,
8,mosquittoo,13,0.0019,0.002,0.0021,3382867,3869245
8,postgres,13,0.0052,0.0063,0.0064,46726160,49283072
8,rustfs_container,13,0.0018,0.0024,0.0025,106882158,110100480
8,_TOTAL_(containers),13,0.4728,1.364,1.37,2690136247,3274912563
9,pulsar,13,0.4912,1.424,1.43,2543942168,3178275799
9,jobmanager,13,,,,,
9,taskmanager,13,,,,,
9,mosquittoo,13,0.0019,0.0021,0.0021,3307047,3638559
9,postgres,13,0.0056,0.0068,0.0069,50355846,52323942
9,rustfs_container,13,0.0019,0.0024,0.0024,111471695,114294784
9,_TOTAL_(containers),13,0.5011,1.434,1.44,2705829396,3350074491
10,pulsar,13,0.4681,1.406,1.43,2542290257,3038689362
10,jobmanager,13,,,,,
10,taskmanager,13,,,,,
10,mosquittoo,13,0.0022,0.0023,0.0023,3511923,4173332
10,postgres,13,0.0063,0.0073,0.0075,54461424,56413389
10,rustfs_container,13,0.002,0.0028,0.0028,114456103,118489088
10,_TOTAL_(containers),13,0.4787,1.416,1.44,2715740859,3210488054
11,pulsar,12,0.4036,1.3445,1.35,2545662908,3113851290
11,jobmanager,12,,,,,
11,taskmanager,12,,,,,
11,mosquittoo,12,0.0024,0.0025,0.0026,3628947,4194304
11,postgres,12,0.0072,0.0087,0.0087,58650351,60188262
11,rustfs_container,12,0.0022,0.003,0.0032,117353131,119537664
11,_TOTAL_(containers),12,0.4155,1.3545,1.36,2725514663,3296387400
12,pulsar,13,0.4926,1.39,1.39,2519163510,2995739689
12,jobmanager,13,,,,,
12,taskmanager,13,,,,,
12,mosquittoo,13,0.0026,0.0028,0.0028,3754709,4225761
12,postgres,13,0.0067,0.0074,0.0074,62809702,65011712
12,rustfs_container,13,0.0025,0.0034,0.0035,117198533,119537664
12,_TOTAL_(containers),13,0.5048,1.404,1.41,2701699620,3178275799
13,pulsar,13,0.4361,1.428,1.44,2543942168,3178275799
13,jobmanager,13,,,,,
13,taskmanager,13,,,,,
13,mosquittoo,13,0.0027,0.003,0.003,3789392,4466934
13,postgres,13,0.0085,0.0097,0.0098,65108504,68052582
13,rustfs_container,13,0.0027,0.0033,0.0033,119779643,127926272
13,_TOTAL_(containers),13,0.45,1.442,1.46,2733911875,3382286746
14,pulsar,13,0.4657,1.28,1.28,2579458243,3017214525
14,jobmanager,13,,,,,
14,taskmanager,13,,,,,
14,mosquittoo,13,0.0027,0.0029,0.0029,3533701,4246733
14,postgres,13,0.0101,0.0113,0.0114,57857197,70778880
14,rustfs_container,13,0.0026,0.0032,0.0032,125587141,128974848
14,_TOTAL_(containers),13,0.4822,1.3,1.3,2766124130,3210488054
15,pulsar,12,0.4264,1.428,1.45,2563558605,3124588708
15,jobmanager,12,,,,,
15,taskmanager,12,,,,,
15,mosquittoo,12,0.003,0.0032,0.0032,3795845,4529848
15,postgres,12,0.0089,0.0098,0.01,60686336,63124275
15,rustfs_container,12,0.0028,0.0031,0.0033,122159104,128974848
15,_TOTAL_(containers),12,0.4405,1.438,1.46,2746989500,3307124818
16,pulsar,13,0.4724,1.388,1.4,2483647434,2963527434
16,jobmanager,13,,,,,
16,taskmanager,13,,,,,
16,mosquittoo,13,0.0031,0.0033,0.0034,3569998,4278190
16,postgres,13,0.0114,0.0133,0.0134,62866164,66060288
16,rustfs_container,13,0.0031,0.0037,0.0038,137686095,143654912
16,_TOTAL_(containers),13,0.4902,1.408,1.42,2686832426,3167538381
17,pulsar,13,0.5153,1.394,1.4,2286244130,2695091978
17,jobmanager,13,,,,,
17,taskmanager,13,,,,,
17,mosquittoo,13,0.0032,0.0034,0.0034,3913608,4257219
17,postgres,13,0.012,0.0141,0.0142,63309792,67738010
17,rustfs_container,13,0.0035,0.0043,0.0045,161400044,165675008
17,_TOTAL_(containers),13,0.5345,1.41,1.41,2515859689,2931315180
18,pulsar,13,0.4656,1.364,1.37,2078929362,2587717796
18,jobmanager,13,,,,,
18,taskmanager,13,,,,,
18,mosquittoo,13,0.0033,0.0036,0.0036,3772454,4267704
18,postgres,13,0.0123,0.016,0.0168,64801997,73085747
18,rustfs_container,13,0.0032,0.0042,0.0043,158012337,164626432
18,_TOTAL_(containers),13,0.4833,1.374,1.38,2305241101,2802466161
19,pulsar,13,0.5146,1.5,1.5,1779107607,2308544922
19,jobmanager,13,,,,,
19,taskmanager,13,,,,,
19,mosquittoo,13,0.0032,0.0037,0.0037,4245120,5096079
19,postgres,13,0.0133,0.0179,0.0192,71012793,75812045
19,rustfs_container,13,0.0034,0.0043,0.0043,155511887,158334976
19,_TOTAL_(containers),13,0.5343,1.514,1.52,2010375077,2544768123
20,pulsar,14,0.3149,1.4075,1.44,1349846864,1481763717
20,jobmanager,14,,,,,
20,taskmanager,14,,,,,
20,mosquittoo,14,0.0027,0.0035,0.0035,4004811,5106565
20,postgres,14,0.0115,0.0146,0.0152,63416379,82103501
20,rustfs_container,14,0.0024,0.0031,0.0033,158784366,160432128
20,_TOTAL_(containers),14,0.331,1.4175,1.45,1576099606,1728724337
