block,id,sensor_id,sensor_energy_value,sensor_timestamp,message_delay,,block,id,sensor_id,sensor_energy_value_prediction,sensor_timestamp
0,0,4,675.9,2025-12-08 00:00:00,59138.0,,0,0,4,773.584717,2025-12-08 00:01:00
0,1,4,678.8,2025-12-08 00:00:01,58134.0,,0,1,4,794.724854,2025-12-08 00:01:01
0,2,4,658.2,2025-12-08 00:00:02,57132.0,,0,2,4,818.537842,2025-12-08 00:01:02
0,3,4,661.7,2025-12-08 00:00:03,56129.0,,0,3,4,844.124939,2025-12-08 00:01:03
0,4,4,666.8,2025-12-08 00:00:04,55127.0,,0,4,4,870.85376,2025-12-08 00:01:04
0,5,4,674.0,2025-12-08 00:00:05,54124.0,,0,5,4,898.166077,2025-12-08 00:01:05
0,6,4,655.6,2025-12-08 00:00:06,53122.0,,0,6,4,925.555725,2025-12-08 00:01:06
0,7,4,659.9,2025-12-08 00:00:07,52121.0,,0,7,4,952.557678,2025-12-08 00:01:07
0,8,4,667.9,2025-12-08 00:00:08,51119.0,,0,8,4,978.745178,2025-12-08 00:01:08
0,9,4,672.6,2025-12-08 00:00:09,50117.0,,0,9,4,1003.73407,2025-12-08 00:01:09
0,10,4,669.8,2025-12-08 00:00:10,49115.0,,0,10,4,1027.191895,2025-12-08 00:01:10
0,11,4,676.3,2025-12-08 00:00:11,48113.0,,0,11,4,1048.848877,2025-12-08 00:01:11
0,12,4,668.6,2025-12-08 00:00:12,47110.0,,0,12,4,1068.506836,2025-12-08 00:01:12
0,13,4,662.9,2025-12-08 00:00:13,46108.0,,0,13,4,1086.046265,2025-12-08 00:01:13
0,14,4,673.4,2025-12-08 00:00:14,45106.0,,0,14,4,1101.426636,2025-12-08 00:01:14
0,15,4,662.7,2025-12-08 00:00:15,44104.0,,0,15,4,1114.68103,2025-12-08 00:01:15
0,16,4,679.3,2025-12-08 00:00:16,43101.0,,0,16,4,1125.906372,2025-12-08 00:01:16
0,17,4,664.2,2025-12-08 00:00:17,42099.0,,0,17,4,1135.249512,2025-12-08 00:01:17
0,18,4,680.7,2025-12-08 00:00:18,41097.0,,0,18,4,1142.8927,2025-12-08 00:01:18
0,19,4,688.8,2025-12-08 00:00:19,40095.0,,0,19,4,1149.037354,2025-12-08 00:01:19
0,20,4,666.8,2025-12-08 00:00:20,39092.0,,0,20,4,1153.892456,2025-12-08 00:01:20
0,21,4,673.8,2025-12-08 00:00:21,38089.0,,0,21,4,1157.661987,2025-12-08 00:01:21
0,22,4,665.1,2025-12-08 00:00:22,37087.0,,0,22,4,1160.537231,2025-12-08 00:01:22
0,23,4,668.2,2025-12-08 00:00:23,36085.0,,0,23,4,1162.691772,2025-12-08 00:01:23
0,24,4,667.8,2025-12-08 00:00:24,35084.0,,0,24,4,1164.277466,2025-12-08 00:01:24
0,25,4,656.3,2025-12-08 00:00:25,34081.0,,0,25,4,1165.424194,2025-12-08 00:01:25
0,26,4,668.5,2025-12-08 00:00:26,33080.0,,0,26,4,1166.239502,2025-12-08 00:01:26
0,27,4,687.7,2025-12-08 00:00:27,32078.0,,0,27,4,1166.811157,2025-12-08 00:01:27
0,28,4,657.8,2025-12-08 00:00:28,31076.0,,0,28,4,1167.208008,2025-12-08 00:01:28
0,29,4,665.9,2025-12-08 00:00:29,30073.0,,0,29,4,1167.483276,2025-12-08 00:01:29
0,30,4,663.3,2025-12-08 00:00:30,29071.0,,0,30,4,1167.677124,2025-12-08 00:01:30
0,31,4,665.4,2025-12-08 00:00:31,28069.0,,0,31,4,1167.818115,2025-12-08 00:01:31
0,32,4,666.2,2025-12-08 00:00:32,27067.0,,0,32,4,1167.92688,2025-12-08 00:01:32
0,33,4,795.7,2025-12-08 00:00:33,26065.0,,0,33,4,1168.016846,2025-12-08 00:01:33
0,34,4,759.7,2025-12-08 00:00:34,25063.0,,0,34,4,1168.096558,2025-12-08 00:01:34
0,35,4,781.0,2025-12-08 00:00:35,24061.0,,0,35,4,1168.171143,2025-12-08 00:01:35
0,36,4,766.7,2025-12-08 00:00:36,23059.0,,0,36,4,1168.24292,2025-12-08 00:01:36
0,37,4,680.5,2025-12-08 00:00:37,22057.0,,0,37,4,1168.312866,2025-12-08 00:01:37
0,38,4,761.5,2025-12-08 00:00:38,21055.0,,0,38,4,1168.380859,2025-12-08 00:01:38
0,39,4,812.6,2025-12-08 00:00:39,20054.0,,0,39,4,1168.446289,2025-12-08 00:01:39
0,40,4,779.3,2025-12-08 00:00:40,19052.0,,0,40,4,1168.508301,2025-12-08 00:01:40
0,41,4,781.1,2025-12-08 00:00:41,18050.0,,0,41,4,1168.566406,2025-12-08 00:01:41
0,42,4,695.3,2025-12-08 00:00:42,17049.0,,0,42,4,1168.619751,2025-12-08 00:01:42
0,43,4,696.4,2025-12-08 00:00:43,16047.0,,0,43,4,1168.667969,2025-12-08 00:01:43
0,44,4,764.3,2025-12-08 00:00:44,15045.0,,0,44,4,1168.710938,2025-12-08 00:01:44
0,45,4,760.9,2025-12-08 00:00:45,14044.0,,0,45,4,1168.748901,2025-12-08 00:01:45
0,46,4,766.5,2025-12-08 00:00:46,13042.0,,0,46,4,1168.78186,2025-12-08 00:01:46
0,47,4,766.4,2025-12-08 00:00:47,12041.0,,0,47,4,1168.810181,2025-12-08 00:01:47
0,48,4,762.4,2025-12-08 00:00:48,11038.0,,0,48,4,1168.834106,2025-12-08 00:01:48
0,49,4,762.1,2025-12-08 00:00:49,10036.0,,0,49,4,1168.854492,2025-12-08 00:01:49
0,50,4,765.7,2025-12-08 00:00:50,9034.0,,0,50,4,1168.871704,2025-12-08 00:01:50
0,51,4,761.9,2025-12-08 00:00:51,8032.0,,0,51,4,1168.885986,2025-12-08 00:01:51
0,52,4,699.1,2025-12-08 00:00:52,7030.0,,0,52,4,1168.898071,2025-12-08 00:01:52
0,53,4,700.3,2025-12-08 00:00:53,6028.0,,0,53,4,1168.908325,2025-12-08 00:01:53
0,54,4,700.0,2025-12-08 00:00:54,5026.0,,0,54,4,1168.916626,2025-12-08 00:01:54
0,55,4,701.5,2025-12-08 00:00:55,4024.0,,0,55,4,1168.924072,2025-12-08 00:01:55
0,56,4,710.8,2025-12-08 00:00:56,3022.0,,0,56,4,1168.930298,2025-12-08 00:01:56
0,57,4,708.4,2025-12-08 00:00:57,2020.0,,0,57,4,1168.935791,2025-12-08 00:01:57
0,58,4,702.1,2025-12-08 00:00:58,1017.0,,0,58,4,1168.940796,2025-12-08 00:01:58
0,59,4,702.2,2025-12-08 00:00:59,15.0,,0,59,4,1168.94519,2025-12-08 00:01:59
