block,id,sensor_id,sensor_energy_value,sensor_timestamp,message_delay,,block,id,sensor_id,sensor_energy_value_prediction,sensor_timestamp
0,0,7,724.6,2025-12-08 00:00:00,59142.0,,0,0,7,1000.0896,2025-12-08 00:01:00
0,1,7,735.8,2025-12-08 00:00:01,58139.0,,0,1,7,1021.986694,2025-12-08 00:01:01
0,2,7,720.3,2025-12-08 00:00:02,57137.0,,0,2,7,1041.691895,2025-12-08 00:01:02
0,3,7,720.3,2025-12-08 00:00:03,56135.0,,0,3,7,1059.666382,2025-12-08 00:01:03
0,4,7,718.7,2025-12-08 00:00:04,55133.0,,0,4,7,1076.34729,2025-12-08 00:01:04
0,5,7,720.2,2025-12-08 00:00:05,54130.0,,0,5,7,1092.071289,2025-12-08 00:01:05
0,6,7,719.9,2025-12-08 00:00:06,53128.0,,0,6,7,1107.067017,2025-12-08 00:01:06
0,7,7,719.4,2025-12-08 00:00:07,52126.0,,0,7,7,1121.479614,2025-12-08 00:01:07
0,8,7,718.6,2025-12-08 00:00:08,51124.0,,0,8,7,1135.38562,2025-12-08 00:01:08
0,9,7,725.2,2025-12-08 00:00:09,50122.0,,0,9,7,1148.811035,2025-12-08 00:01:09
0,10,7,727.3,2025-12-08 00:00:10,49120.0,,0,10,7,1161.73877,2025-12-08 00:01:10
0,11,7,719.8,2025-12-08 00:00:11,48118.0,,0,11,7,1174.141113,2025-12-08 00:01:11
0,12,7,719.7,2025-12-08 00:00:12,47116.0,,0,12,7,1185.988037,2025-12-08 00:01:12
0,13,7,718.1,2025-12-08 00:00:13,46114.0,,0,13,7,1197.232544,2025-12-08 00:01:13
0,14,7,720.3,2025-12-08 00:00:14,45111.0,,0,14,7,1207.840576,2025-12-08 00:01:14
0,15,7,718.7,2025-12-08 00:00:15,44109.0,,0,15,7,1217.783081,2025-12-08 00:01:15
0,16,7,719.5,2025-12-08 00:00:16,43107.0,,0,16,7,1227.050171,2025-12-08 00:01:16
0,17,7,719.6,2025-12-08 00:00:17,42104.0,,0,17,7,1235.640015,2025-12-08 00:01:17
0,18,7,721.1,2025-12-08 00:00:18,41102.0,,0,18,7,1243.564453,2025-12-08 00:01:18
0,19,7,733.9,2025-12-08 00:00:19,40100.0,,0,19,7,1250.845215,2025-12-08 00:01:19
0,20,7,722.9,2025-12-08 00:00:20,39098.0,,0,20,7,1257.504639,2025-12-08 00:01:20
0,21,7,726.4,2025-12-08 00:00:21,38096.0,,0,21,7,1263.596558,2025-12-08 00:01:21
0,22,7,720.0,2025-12-08 00:00:22,37094.0,,0,22,7,1269.153931,2025-12-08 00:01:22
0,23,7,720.6,2025-12-08 00:00:23,36092.0,,0,23,7,1274.226074,2025-12-08 00:01:23
0,24,7,720.7,2025-12-08 00:00:24,35089.0,,0,24,7,1278.853882,2025-12-08 00:01:24
0,25,7,715.8,2025-12-08 00:00:25,34087.0,,0,25,7,1283.081177,2025-12-08 00:01:25
